N_data,method,time
1400,MiniBatchKMeans,141.355
700,MiniBatchKMeans,156.525
350,MiniBatchKMeans,162.478
280,MiniBatchKMeans,151.038
200,MiniBatchKMeans,171.173
140,MiniBatchKMeans,105.995
100,MiniBatchKMeans,59.009
70,MiniBatchKMeans,56.716
56,MiniBatchKMeans,57.232
50,MiniBatchKMeans,61.049
40,MiniBatchKMeans,62.976
28,MiniBatchKMeans,63.779
20,MiniBatchKMeans,57.719
14,MiniBatchKMeans,63.397
10,MiniBatchKMeans,60.285
8,MiniBatchKMeans,57.825
4,MiniBatchKMeans,51.865
1400,KMeans,84.063
700,KMeans,80.462
350,KMeans,81.523
280,KMeans,76.981
200,KMeans,85.265
140,KMeans,31.394
100,KMeans,33.455
70,KMeans,31.39
56,KMeans,34.287
50,KMeans,32.869
40,KMeans,33.11
28,KMeans,33.017
20,KMeans,34.56
14,KMeans,38.949
10,KMeans,33.169
8,KMeans,34.319
4,KMeans,32.806
1400,SpectralClustering,12.15
700,SpectralClustering,12.078
350,SpectralClustering,10.941
280,SpectralClustering,13.55
200,SpectralClustering,12.361
140,SpectralClustering,10.698
100,SpectralClustering,9.241
70,SpectralClustering,8.795
56,SpectralClustering,8.888
50,SpectralClustering,9.338
40,SpectralClustering,9.306
28,SpectralClustering,8.941
20,SpectralClustering,10.207
14,SpectralClustering,8.676
10,SpectralClustering,8.851
8,SpectralClustering,9.277
4,SpectralClustering,8.926
1400,Birch,4.46
700,Birch,3.221
350,Birch,2.717
280,Birch,2.585
200,Birch,6.877
140,Birch,2.514
100,Birch,2.214
70,Birch,2.299
56,Birch,2.462
50,Birch,2.209
40,Birch,4.151
28,Birch,2.859
20,Birch,2.243
14,Birch,2.091
10,Birch,2.187
8,Birch,2.134
4,Birch,2.622
1400,AgglomerativeClustering,1.152
700,AgglomerativeClustering,0.808
350,AgglomerativeClustering,0.61
280,AgglomerativeClustering,0.59
200,AgglomerativeClustering,0.534
140,AgglomerativeClustering,0.49
100,AgglomerativeClustering,0.455
70,AgglomerativeClustering,0.431
56,AgglomerativeClustering,0.433
50,AgglomerativeClustering,0.432
40,AgglomerativeClustering,0.418
28,AgglomerativeClustering,0.421
20,AgglomerativeClustering,0.438
14,AgglomerativeClustering,0.433
10,AgglomerativeClustering,0.403
8,AgglomerativeClustering,0.378
4,AgglomerativeClustering,0.398
