,columns,170101,170103,170104,170108,16090101,16090401,16090601,16091201,16091301,16091401,16092001,16092101,16092201,16092301,16092501,16092801,16093001,16093201,16093301,16093501,16093601,16093801
0,0_Absolute energy,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True
1,0_Area under the curve,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True
2,0_Autocorrelation,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True
3,0_Centroid,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False
4,0_ECDF Percentile Count_0,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False
5,0_ECDF Percentile Count_1,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False
6,0_ECDF Percentile_0,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
7,0_ECDF Percentile_1,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
8,0_ECDF_0,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False
9,0_ECDF_1,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False
10,0_ECDF_2,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False
11,0_ECDF_3,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False
12,0_ECDF_4,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False
13,0_ECDF_5,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False
14,0_ECDF_6,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False
15,0_ECDF_7,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False
16,0_ECDF_8,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False
17,0_ECDF_9,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False
18,0_Entropy,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False
19,0_FFT mean coefficient_1,False,False,False,True,False,True,True,True,False,False,True,False,False,False,False,False,False,True,False,False,False,True
20,0_FFT mean coefficient_2,False,True,False,True,True,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False
21,0_FFT mean coefficient_3,False,False,True,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True
22,0_FFT mean coefficient_4,False,False,True,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,True,True
23,0_FFT mean coefficient_5,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,True,False,False,True,True,True,False
24,0_FFT mean coefficient_6,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,True
25,0_FFT mean coefficient_7,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,True
