img,model,N_data,acc,time
170101,MiniBatchKMeans,1400.0,0.8048780487804879,646.616
170101,MiniBatchKMeans,700.0,0.6097560975609756,269.979
170101,MiniBatchKMeans,350.0,0.6341463414634146,567.151
170101,MiniBatchKMeans,280.0,0.6341463414634146,426.517
170101,MiniBatchKMeans,200.0,0.5853658536585366,234.374
170101,MiniBatchKMeans,175.0,0.6097560975609756,149.077
170101,MiniBatchKMeans,140.0,0.5853658536585366,147.664
170101,MiniBatchKMeans,100.0,0.5121951219512195,163.602
170101,MiniBatchKMeans,70.0,0.6585365853658536,169.245
170101,MiniBatchKMeans,56.0,0.5853658536585366,63.709
170101,MiniBatchKMeans,50.0,0.6097560975609756,119.746
170101,MiniBatchKMeans,40.0,0.5853658536585366,120.635
170101,MiniBatchKMeans,35.0,0.5853658536585366,150.706
170101,MiniBatchKMeans,28.0,0.5853658536585367,502.495
170101,MiniBatchKMeans,25.0,0.6585365853658537,35.782
170101,MiniBatchKMeans,20.0,0.5853658536585366,38.766
170101,MiniBatchKMeans,14.0,0.7073170731707317,37.909
170101,MiniBatchKMeans,10.0,0.7073170731707317,45.898
170101,MiniBatchKMeans,8.0,0.6829268292682926,69.344
170101,MiniBatchKMeans,7.0,0.6585365853658536,109.17
170101,MiniBatchKMeans,5.0,0.5609756097560976,213.973
170101,MiniBatchKMeans,4.0,0.6097560975609756,105.401
170101,MiniBatchKMeans,2.0,0.5853658536585366,223.185
170101,KMeans,1400.0,0.5853658536585367,258.822
170101,KMeans,700.0,0.5853658536585366,224.318
170101,KMeans,350.0,0.5853658536585366,242.263
170101,KMeans,280.0,0.5853658536585366,223.799
170101,KMeans,200.0,0.5853658536585366,126.678
170101,KMeans,175.0,0.5853658536585366,84.474
170101,KMeans,140.0,0.5853658536585366,85.281
170101,KMeans,100.0,0.5853658536585366,91.406
170101,KMeans,70.0,0.5853658536585366,76.923
170101,KMeans,56.0,0.5853658536585366,77.924
170101,KMeans,50.0,0.5853658536585366,43.603
170101,KMeans,40.0,0.5853658536585366,73.729
170101,KMeans,35.0,0.5853658536585366,74.578
170101,KMeans,28.0,0.5853658536585366,74.171
170101,KMeans,25.0,0.5853658536585366,78.007
170101,KMeans,20.0,0.5853658536585366,79.608
170101,KMeans,14.0,0.6341463414634146,84.085
170101,KMeans,10.0,0.5853658536585366,86.743
170101,KMeans,8.0,0.5853658536585367,59.327
170101,KMeans,7.0,0.5853658536585366,63.553
170101,KMeans,5.0,0.5121951219512195,80.376
170101,KMeans,4.0,0.6097560975609756,83.218
170101,KMeans,2.0,0.5853658536585366,79.603
170101,SpectralClustering,1400.0,0.5365853658536586,83.611
170101,SpectralClustering,700.0,0.5609756097560976,43.771
170101,SpectralClustering,350.0,0.5853658536585366,73.103
170101,SpectralClustering,280.0,0.5853658536585366,64.932
