N_data,model,time
1400,KernelPCA_sigmoid,1.579
700,KernelPCA_sigmoid,1.356
350,KernelPCA_sigmoid,1.192
280,KernelPCA_sigmoid,1.179
200,KernelPCA_sigmoid,1.201
140,KernelPCA_sigmoid,1.176
100,KernelPCA_sigmoid,1.15
70,KernelPCA_sigmoid,1.167
56,KernelPCA_sigmoid,1.15
50,KernelPCA_sigmoid,1.158
40,KernelPCA_sigmoid,1.132
28,KernelPCA_sigmoid,1.115
20,KernelPCA_sigmoid,1.202
14,KernelPCA_sigmoid,1.168
10,KernelPCA_sigmoid,1.119
8,KernelPCA_sigmoid,1.112
4,KernelPCA_sigmoid,1.127
1400,KernelPCA_cosine,1.767
700,KernelPCA_cosine,1.398
350,KernelPCA_cosine,1.316
280,KernelPCA_cosine,1.253
200,KernelPCA_cosine,1.215
140,KernelPCA_cosine,1.198
100,KernelPCA_cosine,1.184
70,KernelPCA_cosine,1.182
56,KernelPCA_cosine,1.163
50,KernelPCA_cosine,1.195
40,KernelPCA_cosine,1.423
28,KernelPCA_cosine,1.315
20,KernelPCA_cosine,1.222
14,KernelPCA_cosine,1.196
10,KernelPCA_cosine,1.153
8,KernelPCA_cosine,1.139
4,KernelPCA_cosine,1.137
1400,FactorAnalysis,201.559
700,FactorAnalysis,117.979
350,FactorAnalysis,78.947
280,FactorAnalysis,65.012
200,FactorAnalysis,25.63
140,FactorAnalysis,18.54
100,FactorAnalysis,15.546
70,FactorAnalysis,16.606
56,FactorAnalysis,14.429
50,FactorAnalysis,20.747
40,FactorAnalysis,38.6
28,FactorAnalysis,20.54
20,FactorAnalysis,31.31
14,FactorAnalysis,28.793
10,FactorAnalysis,35.362
8,FactorAnalysis,15.561
4,FactorAnalysis,1.54
1400,FastICA,39.162
700,FastICA,17.552
350,FastICA,15.583
280,FastICA,14.995
200,FastICA,14.441
140,FastICA,12.64
100,FastICA,11.128
70,FastICA,10.287
56,FastICA,11.013
50,FastICA,11.469
40,FastICA,3.443
28,FastICA,4.222
20,FastICA,3.428
14,FastICA,2.942
10,FastICA,2.598
8,FastICA,3.001
4,FastICA,3.272
1400,IncrementalPCA,14.817
700,IncrementalPCA,5.898
350,IncrementalPCA,3.655
280,IncrementalPCA,3.049
200,IncrementalPCA,1.961
140,IncrementalPCA,1.656
100,IncrementalPCA,1.463
70,IncrementalPCA,1.26
56,IncrementalPCA,1.205
50,IncrementalPCA,1.168
40,IncrementalPCA,0.895
28,IncrementalPCA,0.7
20,IncrementalPCA,0.647
14,IncrementalPCA,0.569
10,IncrementalPCA,0.527
8,IncrementalPCA,0.822
4,IncrementalPCA,1.002
1400,PCA,9.227
700,PCA,5.911
350,PCA,2.752
280,PCA,2.262
200,PCA,1.72
140,PCA,1.457
100,PCA,1.378
70,PCA,1.141
56,PCA,1.079
50,PCA,1.037
40,PCA,0.805
28,PCA,0.599
20,PCA,0.546
14,PCA,0.464
10,PCA,0.437
8,PCA,0.42
4,PCA,0.382
1400,TruncatedSVD,7.217
700,TruncatedSVD,7.112
350,TruncatedSVD,5.053
280,TruncatedSVD,3.458
200,TruncatedSVD,2.779
140,TruncatedSVD,2.216
100,TruncatedSVD,1.933
70,TruncatedSVD,1.573
56,TruncatedSVD,1.434
50,TruncatedSVD,1.367
40,TruncatedSVD,1.266
28,TruncatedSVD,1.2
20,TruncatedSVD,1.071
14,TruncatedSVD,1.021
10,TruncatedSVD,0.917
8 TruncatedSVD 0.899  ms
4 TruncatedSVD 0.842  ms
