component_fun,setting,model,video,acc
KernelPCA,sigmoid,AgglomerativeClustering,16090101,0.9411764705882352
KernelPCA,sigmoid,AgglomerativeClustering,16090401,0.9333333333333332
KernelPCA,sigmoid,AgglomerativeClustering,16090601,1.0
KernelPCA,sigmoid,AgglomerativeClustering,16091201,0.9444444444444444
KernelPCA,sigmoid,AgglomerativeClustering,16091301,0.75
KernelPCA,sigmoid,AgglomerativeClustering,16092001,0.8253968253968254
KernelPCA,sigmoid,AgglomerativeClustering,16092201,0.5517241379310345
KernelPCA,sigmoid,AgglomerativeClustering,16092301,1.0
KernelPCA,sigmoid,AgglomerativeClustering,16092501,0.9054054054054054
KernelPCA,sigmoid,AgglomerativeClustering,16092701,0.5277777777777778
KernelPCA,sigmoid,AgglomerativeClustering,16092801,1.0
KernelPCA,sigmoid,AgglomerativeClustering,16093001,0.9032258064516128
KernelPCA,sigmoid,AgglomerativeClustering,16093201,0.7317073170731707
KernelPCA,sigmoid,AgglomerativeClustering,16093301,0.7567567567567568
KernelPCA,sigmoid,AgglomerativeClustering,16093501,0.9454545454545454
KernelPCA,sigmoid,AgglomerativeClustering,16093601,0.56
KernelPCA,sigmoid,AgglomerativeClustering,16093801,0.6901408450704225
KernelPCA,sigmoid,AgglomerativeClustering,170101,0.7317073170731707
KernelPCA,sigmoid,AgglomerativeClustering,170103,0.7142857142857143
KernelPCA,sigmoid,AgglomerativeClustering,170104,0.7777777777777778
KernelPCA,sigmoid,AgglomerativeClustering,170108,1.0
KernelPCA,sigmoid,AgglomerativeClustering,170110,0.8253968253968254
KernelPCA,sigmoid,Birch,16090101,0.6764705882352942
KernelPCA,sigmoid,Birch,16090401,0.6266666666666667
KernelPCA,sigmoid,Birch,16090601,0.5348837209302325
KernelPCA,sigmoid,Birch,16091201,0.75
KernelPCA,sigmoid,Birch,16091301,0.75
KernelPCA,sigmoid,Birch,16092001,0.6507936507936508
KernelPCA,sigmoid,Birch,16092201,0.7241379310344828
KernelPCA,sigmoid,Birch,16092301,0.7796610169491526
KernelPCA,sigmoid,Birch,16092501,0.6891891891891891
KernelPCA,sigmoid,Birch,16092701,0.8055555555555556
KernelPCA,sigmoid,Birch,16092801,0.64
KernelPCA,sigmoid,Birch,16093001,0.6129032258064516
KernelPCA,sigmoid,Birch,16093201,0.6585365853658537
KernelPCA,sigmoid,Birch,16093301,0.6216216216216216
KernelPCA,sigmoid,Birch,16093501,0.6363636363636364
KernelPCA,sigmoid,Birch,16093601,0.76
KernelPCA,sigmoid,Birch,16093801,0.8169014084507042
KernelPCA,sigmoid,Birch,170101,0.5365853658536586
KernelPCA,sigmoid,Birch,170103,0.6428571428571429
KernelPCA,sigmoid,Birch,170104,0.8095238095238095
KernelPCA,sigmoid,Birch,170108,0.6666666666666667
KernelPCA,sigmoid,Birch,170110,0.6190476190476191
KernelPCA,sigmoid,KMeans,16090101,0.9705882352941176
KernelPCA,sigmoid,KMeans,16090401,0.88
